date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:10:17	98596/98596	---M--	200	added ('OK')	text/javascript	etag:%22272e5f31cb0b5f99%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/My%20Web%20Sites/e/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://brokenw1nter.github.io/files/css/font-awesome.min.html)
22:10:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	https://brokenw1nter.github.io/files/css/assets/images/logo-blue-1033x329.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/files/css/assets/images/logo-blue-1033x329.png	(from https://brokenw1nter.github.io/files/css/font-awesome.min.html)
22:10:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	https://brokenw1nter.github.io/files/fonts/assets/images/logo.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/files/fonts/assets/images/logo.png	(from https://brokenw1nter.github.io/files/fonts/glyphicons-halflings-regular.eot.html)
22:10:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5fee10-247b%22	https://brokenw1nter.github.io/files/fonts/index.html	C:/My%20Web%20Sites/e/brokenw1nter.github.io/files/fonts/index.html	(from https://brokenw1nter.github.io/files/fonts/glyphicons-halflings-regular.eot.html)
22:10:18	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f5ffe29-247b%22	https://brokenw1nter.github.io/files/fonts/assets/images/logo-blue-1033x329.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/files/fonts/assets/images/logo-blue-1033x329.png	(from https://brokenw1nter.github.io/files/fonts/glyphicons-halflings-regular.eot.html)
22:10:19	189053/189053	---M--	200	added ('OK')	image/png	etag:%225c64698d-2e27d%22	https://brokenw1nter.github.io/KawaiiClub/wn40.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/wn40.png	(from https://brokenw1nter.github.io/KawaiiClub/style.css)
22:10:19	1375/1375	---M-Z	200	added ('OK')	text/css	etag:W/%225c64698d-55f%22	https://brokenw1nter.github.io/KawaiiClub/login/style.css	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/login/style.css	(from https://brokenw1nter.github.io/KawaiiClub/login/index.html)
22:10:20	670/670	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225c64698d-29e%22	https://brokenw1nter.github.io/KawaiiClub/login/favicon.ico	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/login/favicon.ico	(from https://brokenw1nter.github.io/KawaiiClub/login/index.html)
22:10:20	742/742	---M-Z	200	added ('OK')	text/html	etag:W/%225c64698d-2e6%22	https://brokenw1nter.github.io/KawaiiClub/home/index.html	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/index.html	(from https://brokenw1nter.github.io/KawaiiClub/login/index.html)
22:10:21	4301428/4301428	---M--	200	added ('OK')	image/png	etag:%225c64698d-41a274%22	https://brokenw1nter.github.io/KawaiiClub/wn20.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/wn20.png	(from https://brokenw1nter.github.io/KawaiiClub/style.css)
22:10:24	10598492/10598492	---M--	200	added ('OK')	audio/wav	etag:%225c64698d-a1b85c%22	https://brokenw1nter.github.io/KawaiiClub/login/song.wav	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/login/song.wav	(from https://brokenw1nter.github.io/KawaiiClub/login/index.html)
22:11:03	102879405/102879405	---M--	200	added ('OK')	video/x-m4v	etag:%225c636fec-621d0ad%22	https://brokenw1nter.github.io/KawaiiHook/KawaiiHook.m4v	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiHook/KawaiiHook.m4v	(from https://brokenw1nter.github.io/KawaiiHook/)
22:11:04	12544/12544	---M-Z	200	added ('OK')	text/css	etag:W/%225c64698d-3100%22	https://brokenw1nter.github.io/KawaiiClub/home/style.css	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/style.css	(from https://brokenw1nter.github.io/KawaiiClub/home/index.html)
22:11:04	454180/454180	---M--	200	added ('OK')	image/jpeg	etag:%225c64698d-6ee24%22	https://brokenw1nter.github.io/KawaiiClub/login/bgg.jpg	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/login/bgg.jpg	(from https://brokenw1nter.github.io/KawaiiClub/login/style.css)
22:11:04	708/708	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c64698d-2c4%22	https://brokenw1nter.github.io/KawaiiClub/home/main.js	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/main.js	(from https://brokenw1nter.github.io/KawaiiClub/home/index.html)
22:11:04	436/436	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c64698d-1b4%22	https://brokenw1nter.github.io/KawaiiClub/home/click.js	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/click.js	(from https://brokenw1nter.github.io/KawaiiClub/home/index.html)
22:11:04	670/670	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225c64698d-29e%22	https://brokenw1nter.github.io/KawaiiClub/home/favicon.ico	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/favicon.ico	(from https://brokenw1nter.github.io/KawaiiClub/home/index.html)
22:11:05	189053/189053	---M--	200	added ('OK')	image/png	etag:%225c64698d-2e27d%22	https://brokenw1nter.github.io/KawaiiClub/home/wn40.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/wn40.png	(from https://brokenw1nter.github.io/KawaiiClub/home/style.css)
22:11:07	4301428/4301428	---M--	200	added ('OK')	image/png	etag:%225c64698d-41a274%22	https://brokenw1nter.github.io/KawaiiClub/home/wn20.png	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/wn20.png	(from https://brokenw1nter.github.io/KawaiiClub/home/style.css)
22:11:10	8571948/8571948	---M--	200	added ('OK')	audio/wav	etag:%225c64698d-82cc2c%22	https://brokenw1nter.github.io/KawaiiClub/home/Anaconda.wav	C:/My%20Web%20Sites/e/brokenw1nter.github.io/KawaiiClub/home/Anaconda.wav	(from https://brokenw1nter.github.io/KawaiiClub/home/index.html)
